Title,Tags,PublishedAt,ViewsCount,LikesCount,FavouriteCount,CommentsCount
How he grabbed OFF-Campus Internship at Goldman Sachs ? Key Interview learnings with Shradha ma'am,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2025-06-06 16:51:28+00:00,75144,2884,0,270
What are the best Projects for Placements & Internships that will get you Hired?,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2025-06-03 17:47:42+00:00,271025,11464,0,430
How this 3rd year student got selected in Google ? Core branch student,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2025-05-29 16:00:52+00:00,84146,2926,0,211
Complete Placement Preparation: Full Web Development + DSA + Aptitude | New Sigma 8.0 🚀,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2025-05-24 15:29:54+00:00,224904,6516,0,1127
"WAKE UP CALL for 1st, 2nd year students - Know what's your Goal","['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2025-04-03 16:52:00+00:00,612443,35526,0,1289
How this Core branch student with just 6.5 CGPA got 27 lakhs Tech Placement at JusPay?,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2025-02-10 17:12:57+00:00,102596,3582,0,208
Shradha Khapra Ma'am invited their selected students for Interviews🪴,,2025-02-10 14:54:01+00:00,237349,11254,0,101
Google Intern : Importance of Projects,,2025-01-20 09:33:16+00:00,191290,11292,0,31
Google Interview process. Shivam is our Alpha student who cracked Google.,,2025-01-11 14:43:49+00:00,254881,14933,0,53
Naman is our student who cracked Goldman Sachs. Complete Interview is available on Apna College,,2025-01-10 05:29:34+00:00,978578,47031,0,110
How this student got Amazon via Off-Campus Hackathon | from Tier 2/3 | Interview lessons with Ma'am,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2025-01-08 15:56:07+00:00,136752,4920,0,253
Complete Placement Preparation : Full Stack Web Development + Java DSA + Aptitude | New Sigma 6.0 🚀,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2024-12-21 15:28:28+00:00,406589,9488,0,1444
Recursion Part 3 : Backtracking in Detail | Print all Subsets | Subsets II,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2024-11-27 14:38:58+00:00,72455,1553,0,133
Subarray Sum Equals K | Brute-Better-Optimal approach,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2024-11-19 15:44:14+00:00,70650,1623,0,136
Web Development Complete RoadMap for 2025 | from Basics to Advanced,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2024-11-17 16:26:04+00:00,1325493,49945,0,1826
Interview lessons & learnings - by Shradha Ma’am,,2024-11-08 14:48:47+00:00,92657,3682,0,44
Search a 2D Matrix - Variation I & II | 2D Arrays - Part 2 | DSA Series by Shradha Ma'am,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2024-11-04 15:45:16+00:00,55471,1436,0,177
2nd year student cracks Paypal | Off-Campus selection | + PPI,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2024-10-19 16:05:23+00:00,304717,11179,0,584
Strings & Character Arrays in C++  -  Part 1 | DSA Placement Series,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2024-10-18 16:02:49+00:00,153793,3391,0,274
C++ STL Complete Tutorial | Standard Template Library - One Shot,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2024-10-15 15:33:41+00:00,253150,5010,0,409
