kind,etag,id,snippet_publishedAt,snippet_channelId,snippet_title,snippet_description,snippet_thumbnails_default_url,snippet_thumbnails_default_width,snippet_thumbnails_default_height,snippet_thumbnails_medium_url,snippet_thumbnails_medium_width,snippet_thumbnails_medium_height,snippet_thumbnails_high_url,snippet_thumbnails_high_width,snippet_thumbnails_high_height,snippet_thumbnails_standard_url,snippet_thumbnails_standard_width,snippet_thumbnails_standard_height,snippet_thumbnails_maxres_url,snippet_thumbnails_maxres_width,snippet_thumbnails_maxres_height,snippet_channelTitle,snippet_tags,snippet_categoryId,snippet_liveBroadcastContent,snippet_localized_title,snippet_localized_description,snippet_defaultAudioLanguage,statistics_viewCount,statistics_likeCount,statistics_favoriteCount,statistics_commentCount
youtube#video,e1Js7LKBgUezQPzkl9niLst-eXA,Q_mSKYgWtio,2025-06-06T16:51:28Z,UCBwmMxybNva6P_5VmxjzwqA,How he grabbed OFF-Campus Internship at Goldman Sachs ? Key Interview learnings with Shradha ma'am,"Save time & study only what's needed for Placements 🚀
📌New Delta 7.0 Link : https://www.apnacollege.in/course/delta-7

(Early Bird Offer will end on 7th June at 11:59PM)
--------------------------------------------------------------------------
PS : for those who asked, EMI option is available on payment page. 

Eligibility for Delta 7.0 
- B.Tech students preparing for Tech Placement/Internships. 
- start as early as possible, first 2 years are most important. 
- M.Tech/MCA/BCA who are preparing for Tech Placements/Internships

Class Schedule : 
- Mentioned in video & on website. 
- Lectures will come on alternate days.
- Lecture Timings : 8PM 
- Lecture duration : 1.5 - 2.0 Hour

📌 Our Latest Placement Batches : https://linktr.ee/apnacollege.in

Share your progress on Twitter : https://x.com/ShradhaKhapra_
DSA Series full playlist : https://www.youtube.com/playlist?list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt

Shradha Khapra Ma'am community 
Instagram : https://www.instagram.com/shradhakhapra
LinkedIn : https://www.linkedin.com/in/shradha-khapra/",https://i.ytimg.com/vi/Q_mSKYgWtio/default.jpg,120,90,https://i.ytimg.com/vi/Q_mSKYgWtio/mqdefault.jpg,320,180,https://i.ytimg.com/vi/Q_mSKYgWtio/hqdefault.jpg,480,360,https://i.ytimg.com/vi/Q_mSKYgWtio/sddefault.jpg,640,480,https://i.ytimg.com/vi/Q_mSKYgWtio/maxresdefault.jpg,1280,720,Apna College,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",27,none,How he grabbed OFF-Campus Internship at Goldman Sachs ? Key Interview learnings with Shradha ma'am,"Save time & study only what's needed for Placements 🚀
📌New Delta 7.0 Link : https://www.apnacollege.in/course/delta-7

(Early Bird Offer will end on 7th June at 11:59PM)
--------------------------------------------------------------------------
PS : for those who asked, EMI option is available on payment page. 

Eligibility for Delta 7.0 
- B.Tech students preparing for Tech Placement/Internships. 
- start as early as possible, first 2 years are most important. 
- M.Tech/MCA/BCA who are preparing for Tech Placements/Internships

Class Schedule : 
- Mentioned in video & on website. 
- Lectures will come on alternate days.
- Lecture Timings : 8PM 
- Lecture duration : 1.5 - 2.0 Hour

📌 Our Latest Placement Batches : https://linktr.ee/apnacollege.in

Share your progress on Twitter : https://x.com/ShradhaKhapra_
DSA Series full playlist : https://www.youtube.com/playlist?list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt

Shradha Khapra Ma'am community 
Instagram : https://www.instagram.com/shradhakhapra
LinkedIn : https://www.linkedin.com/in/shradha-khapra/",hi,75144,2884,0,270
youtube#video,2iUNPK3wC5aoIZgLolVUVej_SeQ,J11Qme3vAio,2025-06-03T17:47:42Z,UCBwmMxybNva6P_5VmxjzwqA,What are the best Projects for Placements & Internships that will get you Hired?,"Save time & study only what's needed for Placements 🚀
📌New Sigma 8.0 Link : https://www.apnacollege.in/course/sigma-8

Batch starting from 10th June 2025
--------------------------------------------------------------------------

To start your journey you can study from the following resources❤️

1. HTML One Shot : https://www.youtube.com/watch?v=HcOc7P5BMi4&t=14s
2. CSS One Shot : https://www.youtube.com/watch?v=ESnrn1kAD4E
3. Git & GitHub One Shot : https://www.youtube.com/watch?v=Ez8F0nW6S-w
4. Amazon Project (using HTML, CSS) : https://www.youtube.com/watch?v=nGhKIC_7Mkk
5. JavaScript Full Course : https://www.youtube.com/watch?v=ajdRvxDWH4w&list=PLGjplNEQ1it_oTvuLRNqXfz_v_0pq6unW 
6. SQL complete tutorial : https://www.youtube.com/watch?v=hlGoQC332VM
7.MDN docs link : https://developer.mozilla.org/en-US/

Want to study for Tech Placements/Internships from us :
📌Our Latest Placement Batches : https://linktr.ee/apnacollege.in

Share your progress on Twitter : https://x.com/ShradhaKhapra_
DSA Series full playlist : https://www.youtube.com/playlist?list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt

Timestamps : 
00:00 Why Projects are needed?
01:25 What is an Ideal Project?
04:18 Four Levels of making a good project
13:06 Mistakes you MUST avoid in Projects
16:00 How many projects needed in Resume?


Shradha Khapra Ma'am community 
Instagram : https://www.instagram.com/shradhakhapra
LinkedIn : https://www.linkedin.com/in/shradha-khapra/",https://i.ytimg.com/vi/J11Qme3vAio/default.jpg,120,90,https://i.ytimg.com/vi/J11Qme3vAio/mqdefault.jpg,320,180,https://i.ytimg.com/vi/J11Qme3vAio/hqdefault.jpg,480,360,https://i.ytimg.com/vi/J11Qme3vAio/sddefault.jpg,640,480,https://i.ytimg.com/vi/J11Qme3vAio/maxresdefault.jpg,1280,720,Apna College,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",27,none,What are the best Projects for Placements & Internships that will get you Hired?,"Save time & study only what's needed for Placements 🚀
📌New Sigma 8.0 Link : https://www.apnacollege.in/course/sigma-8

Batch starting from 10th June 2025
--------------------------------------------------------------------------

To start your journey you can study from the following resources❤️

1. HTML One Shot : https://www.youtube.com/watch?v=HcOc7P5BMi4&t=14s
2. CSS One Shot : https://www.youtube.com/watch?v=ESnrn1kAD4E
3. Git & GitHub One Shot : https://www.youtube.com/watch?v=Ez8F0nW6S-w
4. Amazon Project (using HTML, CSS) : https://www.youtube.com/watch?v=nGhKIC_7Mkk
5. JavaScript Full Course : https://www.youtube.com/watch?v=ajdRvxDWH4w&list=PLGjplNEQ1it_oTvuLRNqXfz_v_0pq6unW 
6. SQL complete tutorial : https://www.youtube.com/watch?v=hlGoQC332VM
7.MDN docs link : https://developer.mozilla.org/en-US/

Want to study for Tech Placements/Internships from us :
📌Our Latest Placement Batches : https://linktr.ee/apnacollege.in

Share your progress on Twitter : https://x.com/ShradhaKhapra_
DSA Series full playlist : https://www.youtube.com/playlist?list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt

Timestamps : 
00:00 Why Projects are needed?
01:25 What is an Ideal Project?
04:18 Four Levels of making a good project
13:06 Mistakes you MUST avoid in Projects
16:00 How many projects needed in Resume?


Shradha Khapra Ma'am community 
Instagram : https://www.instagram.com/shradhakhapra
LinkedIn : https://www.linkedin.com/in/shradha-khapra/",hi,271025,11464,0,430
youtube#video,7AcCiWREPvwZttZZQ--qNDY2T4Q,4I5ixtczxi8,2025-05-29T16:00:52Z,UCBwmMxybNva6P_5VmxjzwqA,How this 3rd year student got selected in Google ? Core branch student,"Save time & study only what's needed for Placements 🚀
📌New Sigma 8.0 Link : https://www.apnacollege.in/course/sigma-8

Batch starting from 10th June 2025
--------------------------------------------------------------------------

📌For EMI option, use this payment link : https://pages.razorpay.com/sigma-8
📌Link for International students : https://buy.stripe.com/14kaEQ9be3FsaB2bIW

Eligibility for Sigma 8.0 
- B.Tech students preparing for Tech Placement/Internships. 
- start as early as possible, first 2 years are most important. 
- M.Tech/MCA/BCA who are preparing for Tech Placements/Internships

Class Schedule : 
- Mentioned in video & on website. 
- Lectures will come on alternate days.
- Lecture Timings : 8PM 
- Lecture duration : 1.5 - 2.0 Hour


Shradha Ma'am community 
Instagram : https://www.instagram.com/shradhakhapra
LinkedIn : https://www.linkedin.com/in/shradha-khapra/",https://i.ytimg.com/vi/4I5ixtczxi8/default.jpg,120,90,https://i.ytimg.com/vi/4I5ixtczxi8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/4I5ixtczxi8/hqdefault.jpg,480,360,https://i.ytimg.com/vi/4I5ixtczxi8/sddefault.jpg,640,480,https://i.ytimg.com/vi/4I5ixtczxi8/maxresdefault.jpg,1280,720,Apna College,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",27,none,How this 3rd year student got selected in Google ? Core branch student,"Save time & study only what's needed for Placements 🚀
📌New Sigma 8.0 Link : https://www.apnacollege.in/course/sigma-8

Batch starting from 10th June 2025
--------------------------------------------------------------------------

📌For EMI option, use this payment link : https://pages.razorpay.com/sigma-8
📌Link for International students : https://buy.stripe.com/14kaEQ9be3FsaB2bIW

Eligibility for Sigma 8.0 
- B.Tech students preparing for Tech Placement/Internships. 
- start as early as possible, first 2 years are most important. 
- M.Tech/MCA/BCA who are preparing for Tech Placements/Internships

Class Schedule : 
- Mentioned in video & on website. 
- Lectures will come on alternate days.
- Lecture Timings : 8PM 
- Lecture duration : 1.5 - 2.0 Hour


Shradha Ma'am community 
Instagram : https://www.instagram.com/shradhakhapra
LinkedIn : https://www.linkedin.com/in/shradha-khapra/",hi,84146,2926,0,211
youtube#video,5QE_UQ5xJCzY7oToC1GIckJ3NZk,HobeX2YM4Sk,2025-05-24T15:29:54Z,UCBwmMxybNva6P_5VmxjzwqA,Complete Placement Preparation: Full Web Development + DSA + Aptitude | New Sigma 8.0 🚀,"Save time & study only what's needed for Placements 🚀
📌New Sigma 8.0 Link : https://www.apnacollege.in/course/sigma-8

Batch starting from 10th June 2025
--------------------------------------------------------------------------

📌For EMI option, use this payment link : https://pages.razorpay.com/sigma-8
📌Link for International students : https://buy.stripe.com/14kaEQ9be3FsaB2bIW

Eligibility for Sigma 8.0 
- B.Tech students preparing for Tech Placement/Internships. 
- start as early as possible, first 2 years are most important. 
- M.Tech/MCA/BCA who are preparing for Tech Placements/Internships

Class Schedule : 
- Mentioned in video & on website. 
- Lectures will come on alternate days.
- Lecture Timings : 8PM 
- Lecture duration : 1.5 - 2.0 Hour


Shradha Ma'am community 
Instagram : https://www.instagram.com/shradhakhapra
LinkedIn : https://www.linkedin.com/in/shradha-khapra/",https://i.ytimg.com/vi/HobeX2YM4Sk/default.jpg,120,90,https://i.ytimg.com/vi/HobeX2YM4Sk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/HobeX2YM4Sk/hqdefault.jpg,480,360,https://i.ytimg.com/vi/HobeX2YM4Sk/sddefault.jpg,640,480,https://i.ytimg.com/vi/HobeX2YM4Sk/maxresdefault.jpg,1280,720,Apna College,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",27,none,Complete Placement Preparation: Full Web Development + DSA + Aptitude | New Sigma 8.0 🚀,"Save time & study only what's needed for Placements 🚀
📌New Sigma 8.0 Link : https://www.apnacollege.in/course/sigma-8

Batch starting from 10th June 2025
--------------------------------------------------------------------------

📌For EMI option, use this payment link : https://pages.razorpay.com/sigma-8
📌Link for International students : https://buy.stripe.com/14kaEQ9be3FsaB2bIW

Eligibility for Sigma 8.0 
- B.Tech students preparing for Tech Placement/Internships. 
- start as early as possible, first 2 years are most important. 
- M.Tech/MCA/BCA who are preparing for Tech Placements/Internships

Class Schedule : 
- Mentioned in video & on website. 
- Lectures will come on alternate days.
- Lecture Timings : 8PM 
- Lecture duration : 1.5 - 2.0 Hour


Shradha Ma'am community 
Instagram : https://www.instagram.com/shradhakhapra
LinkedIn : https://www.linkedin.com/in/shradha-khapra/",hi,224904,6516,0,1127
youtube#video,220vxOz6T_v1EvE1ebfi6KJ64Ng,2kCTmlU0RPg,2025-04-03T16:52:00Z,UCBwmMxybNva6P_5VmxjzwqA,"WAKE UP CALL for 1st, 2nd year students - Know what's your Goal","Want to study for Tech Placements/Internships from us :
Our Latest Placement Batches : https://linktr.ee/apnacollege.in

Share your progress on Twitter : https://x.com/ShradhaKhapra_
DSA Series full playlist : https://www.youtube.com/playlist?list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt


Shradha Ma'am community 
Instagram : https://www.instagram.com/shradhakhapra
LinkedIn : https://www.linkedin.com/in/shradha-khapra/",https://i.ytimg.com/vi/2kCTmlU0RPg/default.jpg,120,90,https://i.ytimg.com/vi/2kCTmlU0RPg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/2kCTmlU0RPg/hqdefault.jpg,480,360,https://i.ytimg.com/vi/2kCTmlU0RPg/sddefault.jpg,640,480,https://i.ytimg.com/vi/2kCTmlU0RPg/maxresdefault.jpg,1280,720,Apna College,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",27,none,"WAKE UP CALL for 1st, 2nd year students - Know what's your Goal","Want to study for Tech Placements/Internships from us :
Our Latest Placement Batches : https://linktr.ee/apnacollege.in

Share your progress on Twitter : https://x.com/ShradhaKhapra_
DSA Series full playlist : https://www.youtube.com/playlist?list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt


Shradha Ma'am community 
Instagram : https://www.instagram.com/shradhakhapra
LinkedIn : https://www.linkedin.com/in/shradha-khapra/",hi,612443,35526,0,1289
youtube#video,dQiJ-fRvIZhWks-u5ZeU9Rg8AEc,YzxnxCM7q5A,2025-02-10T17:12:57Z,UCBwmMxybNva6P_5VmxjzwqA,How this Core branch student with just 6.5 CGPA got 27 lakhs Tech Placement at JusPay?,"Want to study for Tech Placements/Internships from us :
Our Latest Placement Batches : https://linktr.ee/apnacollege.in

Share your progress on Twitter : https://x.com/ShradhaKhapra_
DSA Series full playlist : https://www.youtube.com/playlist?list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt


Shradha Ma'am community 
Instagram : https://www.instagram.com/shradhakhapra
LinkedIn : https://www.linkedin.com/in/shradha-khapra/

00:00 Introduction 
00:46 Placement preparation 
02:17 Competitive Programming 
03:16 Projects 
04:14 JusPay hiring process 
09:49 Parents' reaction 
10:17 expectations vs. reality 
12:39 CGPA 
13:12 Mistakes made 
14:02 CP Contests 
15:02 Advice for juniors 
18:47 DSA or Development 
19:03 Time Management 
20:19 Interview preparation 
21:39 Role of friends 
22:30 Role of Delta
23:21 Tips for students",https://i.ytimg.com/vi/YzxnxCM7q5A/default.jpg,120,90,https://i.ytimg.com/vi/YzxnxCM7q5A/mqdefault.jpg,320,180,https://i.ytimg.com/vi/YzxnxCM7q5A/hqdefault.jpg,480,360,https://i.ytimg.com/vi/YzxnxCM7q5A/sddefault.jpg,640,480,https://i.ytimg.com/vi/YzxnxCM7q5A/maxresdefault.jpg,1280,720,Apna College,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",27,none,How this Core branch student with just 6.5 CGPA got 27 lakhs Tech Placement at JusPay?,"Want to study for Tech Placements/Internships from us :
Our Latest Placement Batches : https://linktr.ee/apnacollege.in

Share your progress on Twitter : https://x.com/ShradhaKhapra_
DSA Series full playlist : https://www.youtube.com/playlist?list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt


Shradha Ma'am community 
Instagram : https://www.instagram.com/shradhakhapra
LinkedIn : https://www.linkedin.com/in/shradha-khapra/

00:00 Introduction 
00:46 Placement preparation 
02:17 Competitive Programming 
03:16 Projects 
04:14 JusPay hiring process 
09:49 Parents' reaction 
10:17 expectations vs. reality 
12:39 CGPA 
13:12 Mistakes made 
14:02 CP Contests 
15:02 Advice for juniors 
18:47 DSA or Development 
19:03 Time Management 
20:19 Interview preparation 
21:39 Role of friends 
22:30 Role of Delta
23:21 Tips for students",hi,102596,3582,0,208
youtube#video,avJIfSFgaXfH5_WlmKkQPSU0Y9M,LVtnc10xz-o,2025-02-10T14:54:01Z,UCBwmMxybNva6P_5VmxjzwqA,Shradha Khapra Ma'am invited their selected students for Interviews🪴,,https://i.ytimg.com/vi/LVtnc10xz-o/default.jpg,120,90,https://i.ytimg.com/vi/LVtnc10xz-o/mqdefault.jpg,320,180,https://i.ytimg.com/vi/LVtnc10xz-o/hqdefault.jpg,480,360,https://i.ytimg.com/vi/LVtnc10xz-o/sddefault.jpg,640,480,https://i.ytimg.com/vi/LVtnc10xz-o/maxresdefault.jpg,1280,720,Apna College,,27,none,Shradha Khapra Ma'am invited their selected students for Interviews🪴,,,237349,11254,0,101
youtube#video,Ze1arW8GVREaCq6b3uo_MIRefDs,c5hkSx15ipM,2025-01-20T09:33:16Z,UCBwmMxybNva6P_5VmxjzwqA,Google Intern : Importance of Projects,,https://i.ytimg.com/vi/c5hkSx15ipM/default.jpg,120,90,https://i.ytimg.com/vi/c5hkSx15ipM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/c5hkSx15ipM/hqdefault.jpg,480,360,https://i.ytimg.com/vi/c5hkSx15ipM/sddefault.jpg,640,480,https://i.ytimg.com/vi/c5hkSx15ipM/maxresdefault.jpg,1280,720,Apna College,,27,none,Google Intern : Importance of Projects,,,191290,11292,0,31
youtube#video,eqr46DugcVzyiIFvIUzC6UVMW4s,pc8WLGsHois,2025-01-11T14:43:49Z,UCBwmMxybNva6P_5VmxjzwqA,Google Interview process. Shivam is our Alpha student who cracked Google.,,https://i.ytimg.com/vi/pc8WLGsHois/default.jpg,120,90,https://i.ytimg.com/vi/pc8WLGsHois/mqdefault.jpg,320,180,https://i.ytimg.com/vi/pc8WLGsHois/hqdefault.jpg,480,360,https://i.ytimg.com/vi/pc8WLGsHois/sddefault.jpg,640,480,https://i.ytimg.com/vi/pc8WLGsHois/maxresdefault.jpg,1280,720,Apna College,,27,none,Google Interview process. Shivam is our Alpha student who cracked Google.,,,254881,14933,0,53
youtube#video,MCsvxPEqQW0QYxS4eXpWoUyb4So,sYxN2x2aV3c,2025-01-10T05:29:34Z,UCBwmMxybNva6P_5VmxjzwqA,Naman is our student who cracked Goldman Sachs. Complete Interview is available on Apna College,,https://i.ytimg.com/vi/sYxN2x2aV3c/default.jpg,120,90,https://i.ytimg.com/vi/sYxN2x2aV3c/mqdefault.jpg,320,180,https://i.ytimg.com/vi/sYxN2x2aV3c/hqdefault.jpg,480,360,https://i.ytimg.com/vi/sYxN2x2aV3c/sddefault.jpg,640,480,https://i.ytimg.com/vi/sYxN2x2aV3c/maxresdefault.jpg,1280,720,Apna College,,27,none,Naman is our student who cracked Goldman Sachs. Complete Interview is available on Apna College,,,978578,47031,0,110
